Country,pGDP
Aruba,0.77
Afghanistan,0.09
Angola,-2.18
Anguilla,-0.89
Åland Islands,-4.67
Albania,0.04
Netherlands Antilles,-5.35
United Arab Emirates,-0.98
Argentina,-0.42
Armenia,-0.74
American Samoa,-2.22
Antigua and Barbuda,-0.57
Australia,0.95
Austria,-5.38
Azerbaijan,1.76
Burundi,-6.79
Belgium,-2.33
Benin,6.17
"Bonaire, Saint Eustatius and Saba",-1.31
Burkina Faso,13.55
Bangladesh,3.92
Bulgaria,-0.35
Bahrain,0.15
Bahamas,-1.79
Bosnia and Herzegovina,-1.98
Saint Barthelemy,-2.26
Belarus,-3.93
Belize,-1.22
Bermuda,-1.04
Bolivia (Plurinational State of),-2.45
Brazil,-2.09
Barbados,-3.02
Brunei Darussalam,-1.48
Bhutan,-2.09
Botswana,-0.74
Central African Republic,3.37
Canada,-7.54
Cocos (Keeling) Islands,-2.44
Switzerland,-4.48
Chile,-1.92
China,0.79
Côte d`Ivoire,2.89
Cameroon,1.32
Democratic Republic of the Congo,-0.22
Congo,-0.72
Cook Islands,-2.16
Colombia,-2.40
Comoros,0.25
Cape Verde,-1.86
Costa Rica,-2.63
Cuba,-2.59
Curaçao,1.27
Christmas Island,-2.88
Cayman Islands,0.24
Cyprus,0.55
Czech Republic,-3.44
Germany,-3.82
Djibouti,13.13
Dominica,-2.07
Denmark,-4.71
Dominican Republic,-1.30
Algeria,1.41
Ecuador,-1.50
Egypt,2.04
Eritrea,-0.32
Western Sahara,-1.16
Spain,1.35
Estonia,-5.87
Ethiopia,-4.43
Finland,-13.00
Fiji,-1.50
Falkland Islands,-1.81
France,-0.70
Faroe Islands,-2.73
"Micronesia, Federated States of",-0.21
Gabon,-1.18
United Kingdom,-2.93
Georgia,0.24
Guernsey,-2.67
Ghana,4.44
Gibraltar,-1.28
Guinea,1.79
Guadeloupe,-1.31
Gambia,2.70
Guinea-Bissau,4.49
Equatorial Guinea,-1.61
Greece,1.90
Grenada,-0.68
Greenland,-4.97
Guatemala,-2.16
French Guiana,-1.06
Guam,0.32
Guyana,0.60
Hong Kong,-1.12
Honduras,-2.66
Croatia,-0.58
Haiti,0.52
Hungary,-1.26
Indonesia,-0.98
Isle of Man,-2.97
India,0.88
Ireland,-2.64
Iran,4.71
Iraq,5.84
Iceland,-13.73
Israel,-0.21
Italy,1.13
Jamaica,-1.28
Jersey,-2.73
Jordan,0.03
Japan,0.70
Kazakhstan,-0.41
Kenya,-2.34
Kyrgyzstan,-1.41
Cambodia,1.31
Kiribati,0.45
Saint Kitts and Nevis,-1.21
Kosovo,-1.75
Republic of Korea,0.84
Kuwait,1.89
Lao People`s Democratic Republic,0.81
Lebanon,0.23
Liberia,0.61
Libyan Arab Jamahiriya,0.42
Saint Lucia,-1.85
Liechtenstein,-4.98
Sri Lanka,0.75
Lesotho,-5.51
Lithuania,-4.05
Luxembourg,-3.94
Latvia,-5.53
"China, Macao Special Administrative Region",-0.42
Saint Martin,-0.78
Morocco,-2.47
Monaco,-1.05
Moldova,-1.44
Madagascar,-3.70
Maldives,-1.27
Mexico,-1.07
Marshall Islands,-0.27
The former Yugoslav Republic of Macedonia,-0.99
Mali,9.75
Malta,0.26
Myanmar,2.35
Montenegro,-1.46
Mongolia,-6.09
Northern Mariana Islands,-0.09
Mozambique,0.31
Mauritania,10.08
Montserrat,-1.19
Martinique,-1.48
Mauritius,-2.31
Malawi,-1.10
Malaysia,-1.34
Mayotte,-0.87
Namibia,-1.78
New Caledonia,-1.05
Niger,16.16
Norfolk Island,-2.22
Nigeria,2.00
Nicaragua,-0.80
Niue,-2.24
Netherlands,-2.64
Norway,-14.10
Nepal,0.30
Nauru,-0.33
New Zealand,0.29
Oman,-0.47
Pakistan,10.93
Panama,-1.75
Pitcairn,-1.78
Peru,-2.80
Philippines,-0.05
Palau,-0.02
Papua New Guinea,-1.13
Poland,-3.50
Puerto Rico,-2.50
Democratic People`s Republic of Korea,-1.78
Portugal,0.80
Paraguay,-0.52
Occupied Palestinian Territory,-0.17
French Polynesia,-1.66
Qatar,0.06
Réunion,-2.44
Romania,-1.52
Russian Federation,-3.67
Rwanda,-6.69
Saudi Arabia,1.77
Sudan,11.44
Senegal,3.54
Singapore,-2.28
Saint Helena,-1.70
Svalbard and Jan Mayen,-4.88
Solomon Islands,-0.71
Sierra Leone,1.60
El Salvador,-2.24
San Marino,-2.36
Sint Maarten,-0.78
Somalia,5.05
Saint Pierre and Miquelon,-4.18
Serbia,0.00
South Sudan,2.15
Sao Tome and Principe,-3.62
Suriname,-1.20
Slovakia,-3.09
Slovenia,-1.87
Sweden,-8.91
Swaziland,-2.59
Seychelles,-0.42
Syrian Arab Republic,4.28
Turks and Caicos,-0.73
Chad,10.31
Togo,7.70
Thailand,0.28
Tajikistan,1.17
Tokelau,0.71
Turkmenistan,2.25
Timor-Leste,-0.69
Tonga,-1.27
Trinidad and Tobago,-2.63
Tunisia,1.34
Turkey,0.57
Tuvalu,-0.01
Taiwan,-0.24
United Republic of Tanzania,-1.78
Uganda,-1.47
Ukraine,-2.29
United States Minor Outlying Islands,0.00
Uruguay,-0.45
United States of America,-0.43
Uzbekistan,1.98
Vatican,-0.15
Saint Vincent and the Grenadines,-0.96
Venezuela (Bolivarian Republic of),-1.21
British Virgin Islands,-1.10
Virgin Islands (US),-1.11
Viet Nam,-0.08
Vanuatu,-1.21
Wallis and Futuna,-1.17
Samoa,-0.65
Yemen,-0.23
South Africa,-1.39
Zambia,-1.29
Zimbabwe,-3.06
